# x_m, y_m, w_tr_right_m, w_tr_left_m
-16.446714213694897,12.169214338457,1.1,1.1
-16.3208654987438,12.2147020351064,1.1,1.1
-16.192424608178897,12.2571289295516,1.1,1.1
-15.9258140295832,12.3658384475776,1.1,1.1
-15.791969961027895,12.4046399537859,1.1,1.1
-15.656280132424698,12.4412212821669,1.1,1.1
-15.518917320614698,12.4755050559024,1.1,1.1
-15.384837125456798,12.51289438541,1.1,1.1
-15.2437617395526,12.5439746457638,1.1,1.1
-15.100070996809897,12.5725989229666,1.1,1.1
-14.9534807490789,12.5994493037151,1.1,1.1
-14.803962097911398,12.6247095903269,1.1,1.1
-14.651700896311098,12.6478636588165,1.1,1.1
-14.493463055899898,12.6853513606459,1.1,1.1
-14.336592338698598,12.7050268192255,1.1,1.1
-14.177423013591,12.7226434089019,1.1,1.1
-14.016273596438797,12.7389317370208,1.1,1.1
-13.854035529019498,12.7520381846569,1.1,1.1
-13.683912591348498,12.7807009934309,1.1,1.1
-13.518387607239898,12.7929340438065,1.1,1.1
-13.351682951276398,12.8026908549743,1.1,1.1
-13.183555434466598,12.8105019053529,1.1,1.1
-13.010810699935,12.8434815590266,1.1,1.1
-12.839570965883297,12.8509796024911,1.1,1.1
-12.6671242940606,12.8572081160484,1.1,1.1
-12.493513142014898,12.8616673631815,1.1,1.1
-12.319094243349,12.8647491380452,1.1,1.1
-12.135642939826099,12.8764130816017,1.1,1.1
-11.959766084675898,12.8778832705315,1.1,1.1
-11.784269757419999,12.8783425161191,1.1,1.1
-11.610439720909898,12.8777930656269,1.1,1.1
-11.438359194367298,12.8761062402411,1.1,1.1
-11.2680777977695,12.8730669718594,1.1,1.1
-11.092839724113698,12.870671045257,1.1,1.1
-10.9245189269197,12.8656844389636,1.1,1.1
-10.757111595341097,12.8606831477572,1.1,1.1
-10.5907887893447,12.8552662706371,1.1,1.1
-10.425504790580497,12.8489524189981,1.1,1.1
-10.261343353742898,12.8611577270559,1.1,1.1
